,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,N,P,P,P,P,P,P,P,P,N,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2,P,N,P,P,P,P,P,P,P,P,N,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
3,P,P,N,P,N,P,P,P,P,P,P,P,P,-,P,P,P,P,-,P,P,-,P,P,-,P,P
4,P,P,P,N,P,P,P,P,P,N,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
5,P,P,P,P,N,P,P,P,P,P,P,P,P,-,P,P,P,P,-,P,P,-,P,P,-,P,P
6,P,P,P,P,P,N,P,P,P,P,P,P,P,-,P,P,P,P,P,P,P,P,P,P,-,P,P
7,P,P,P,P,P,P,N,-,P,P,P,P,P,-,P,P,P,P,P,P,P,P,P,P,P,P,P
8,P,P,P,P,P,P,N,N,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
9,P,P,P,P,P,P,P,P,N,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
10,P,P,P,P,P,P,P,P,P,N,P,P,P,P,P,P,P,P,P,P,-,P,P,P,P,P,P
11,P,P,P,P,P,P,P,P,P,P,N,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
12,P,P,P,P,P,P,P,P,P,P,P,N,P,-,P,P,P,P,P,P,P,P,P,P,-,P,P
13,P,P,P,N,P,P,N,P,P,N,P,P,N,P,P,N,P,N,P,P,P,P,P,P,P,P,P
14,P,P,N,P,N,N,N,N,P,P,P,N,P,N,P,P,P,P,P,P,P,N,P,P,N,P,P
15,P,P,P,P,P,P,P,P,P,P,P,P,P,P,N,P,P,P,P,P,P,P,P,P,P,P,P
16,P,P,P,P,P,P,N,P,P,P,P,P,P,P,P,N,P,P,P,P,P,P,P,P,P,P,P
17,P,P,P,P,N,P,P,P,P,P,P,P,P,P,P,P,N,P,P,P,P,P,P,P,P,P,P
18,P,P,P,P,P,P,P,P,P,P,P,P,-,P,P,P,P,N,P,P,P,P,P,P,P,P,P
19,P,P,N,P,N,P,P,P,P,P,P,P,P,P,P,P,P,P,N,P,P,N,P,P,P,P,P
20,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,N,P,P,P,P,P,P,P
21,P,P,P,P,P,P,P,P,P,N,P,N,P,P,P,P,P,P,P,P,N,P,N,P,P,P,P
22,P,P,N,P,N,P,P,P,P,P,P,P,P,-,P,P,P,P,P,P,P,N,P,P,-,P,P
23,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,N,P,P,P,P
24,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,N,P,P,P
25,P,P,N,P,N,N,P,P,P,P,P,N,P,-,P,P,P,P,P,P,P,N,P,P,N,P,P
26,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,N,P,P,N,P,P,N,P
27,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,N,P,P,P,P,P,N,P,P,N
